Efternamn, Förnamn, sida, sida
Mellin, Anders ,109,
Michels[datter], Dorothea ,219,
Michelsen, Jens ,214,
Molander, Helena ,10,
Morin, Catharina Elisabet ,210,
Mortensen, Mickel ,41,
Månson, Maria ,364,
Mårtenson, Jöran ,364,
Möller, Christian ,330,
Nelson, Elsebe Qvist ,161,
Nelssen, Mattes ,284,
Nielsdatter, Maren ,218,
Nielsdatter, Pernille ,210,
Nielsdoter, Mallene ,21,
Nielsen, Christen ,208,
Nielsen, Madz ,177,
Nielsen, Niels ,32,
Nielsen, Peder ,208,
Nielsen, Trols ,32,
Nielson, Rasmus ,303,
Nilsen, Jens ,56,309
Norby, Petrus Bartholi (= Berthelson) ,104,
Norby, Margareta Bendichtstochter ,183,
Nårby, Påvel ,311,
Nårby, Samuel ,297,
Oelsen, Rasmus ,170,
Olsen, Jacob ,15,
Olufsdatter, Berte ,203,
Olufsen, Hans ,91,
Olufson, Mårten ,44,
Olufsson, Jens ,191,
Pavilsdaatter, Ingebor ,94,
Pedersdaater, Karen ,94,
Pedersdater, Maren ,216,
Pedersdotter, Maren ,194,
Pedersen, Hendric ,176,
Pedersen, Jacop ,112,
Pederson, Sven ,176,
Persen, Greis ,197,
Person, Lars ,60,
Petterson,. Nils ,112,
Piper, Elisebet ,413,
Piper, Hans ,413,
Pofvelsdatter, Mallene ,176,
Polman, Jochim ,228,
Prys, Jörgen ,78,
Pryesman, Adrian ,207,
Pryesman, Peter ,207,
Qvist Nelson, Elsebe ,161,
Ram, Barber ,3,
Ram, Fredrik ,3,
Ram, Hans ,3,
Rasmusdater, Kiersten ,303,
Rasmusdatter, Margrete ,324,
Rasmusen, Sorren ,214,
Rasmusson, Jens ,303,
Reink, Hindrich ,414,
Reese, Cesel ,147,
Reese, Hans ,147,
Rits, Hindrick ,92,
Roding, Petter ,309,
Romin, Peter, 263,365
Rosenkrantz, Henrik ,1,
Rosenkrantz Hardenberg, Katarina, 4,11
Rosenwall, M. C. ,10,
Sadelmacher, Jurgen ,54,
Schacht, Harman ,160,
Schacht, Henrich ,141,
Schacht, Sitsele ,141,
Scheel, Hans ,91,
Schlau, Margareta ,47,
Schlow, Berent ,339,
Schlow, Thomes ,340,
Schmidt, Christian Christianson ,365,
Schmidt, Henrick ,36,
Smidt, Ingrid Nilsdotter ,36,
Smidt, Judit Nilsdotter ,36,
Schmidt, Ludolph Henricsson ,145,
Schmiterlöw, Chatarina ,332,
Schmiterlöw, Jörgen ,332,
Schmiterlöw, Melcher ,332,
Schonfelts, Casper ,224,
Schonfelts, Elisabeth ,224,
Schonfelts, Maria ,224,
Schonfelts, Marten ,224,
Schoug, Botla ,322,
Schoug, Christian ,322,
Schriver (?), Christe ,248,
Schvardt, Georg ,23,
Sifredsen, Lauridtz ,325,
Sigfredsen, Anne ,222,
Sigfredsen, Lauridtz ,222,
Simensen, Jens ,347,
Sivers, Berent ,186,
Siöberg, Catharina ,93,
Skabo, Jens ,319,
Skabo, Magdalene ,319,
Staal, Hans ,290,
Stadsberg, Christian ,224,
Steffensdater, Lisabedt ,304,
Stenberg, B. I. ,269,
Stengard, Morits ,324,
Sternberg, Clas ,343,
Stiernman, Petrus ,12,
Strelo, Madz Nielsen ,177,
Strelov, Hans ,206,
Strelow, Johannes Nicolaus ,42,
Strelow ,,164,
Stridz, Barbara ,111,
Stridz, Harmen ,84,
Stridz, Jacob ,244,
Stridz, Olle ,84,
Svartzman, Kasten ,204,
Swenson, Petrus ,18,
Swertefeger, Jurgen ,324,
Säve, Anna Gardrud ,91,
Sofverinsen, Willadtz ,43,
Sorensdochter, Karren ,132,
Tede, Folke(r) ,200,
Thewesdaater, Maren ,220,
Tinappel, Bartelmeus ,16,
Tomis, Margrete ,126,
Tompte, Anders ,123,
Trolsen ,,172,
Trost, Hans ,179,
Tunder, Claas ,352,
Törne, Magnus ,310,316
Wal, Andres ,63,
Wal, Stheffen ,63,
Walle, Andreas ,63,
Walle, Margreta ,63,
Weck, Bartel ,50,
Wedeman, A. M. ,44,
Wedeman, Nils ,44,
Vedderman, Jacob ,39,
Wenhafen ,,346,
Westfaal, Evert ,326,
Westfaal, Karen ,326,
Westöö, Hans Petterson ,254,
Westöö, Magdalena ,254,
Wiberg, Jochimen ,276,
Wielatzen, Sofren ,331,
Wigman, N ,220,
Wilbechz, Anne ,229,
Wilsbeck, Catrina ,95,
Wiman, Anders ,10,
Wittberg, Christian ,94,
Witthoff, Sven ,268,
Wlfelt, Cristoffer ,214,
Wus, Chatrina ,192,
Wus, Rasmus ,192,
